spp,dbh,cr,logs,best_log,worst_log,butt_log,veneer_present,saw_present,quality_score,site,drate,price_factor,crop
BC,4,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,TRUE
BM,4,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,TRUE
PB,4,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,TRUE
RM,4,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,TRUE
SO,4,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,TRUE
WO,4,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,TRUE
YB,4,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,TRUE
BC,7,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,FALSE
BM,7,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,TRUE
PB,7,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,TRUE
RM,7,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,TRUE
SO,7,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,TRUE
WO,7,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,TRUE
YB,7,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,TRUE
BC,10,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,FALSE
BM,10,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,TRUE
PB,10,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,FALSE
RM,10,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,TRUE
SO,10,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,TRUE
WO,10,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,TRUE
YB,10,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,TRUE
BC,13,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,FALSE
BM,13,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,FALSE
PB,13,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,FALSE
RM,13,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,FALSE
SO,13,20,1125555555,1,2,1,TRUE,TRUE,8,granitictill,0.03,1,FALSE
