spp,site,n_obs,crop_rate,mean_dbh,mean_cr,mean_quality
BF,clayplain,210,0.5238095238095238,13,45,1.7333333333333334
BF,granitictill,210,0.5,13,45,1.7333333333333334
BF,lowlandspfr,210,0.3523809523809524,13,45,1.7333333333333334
BF,richnhw,210,0.6523809523809524,13,45,1.7333333333333334
EH,clayplain,210,0.6190476190476191,13,45,1.7333333333333334
EH,granitictill,210,0.6,13,45,1.7333333333333334
EH,lowlandspfr,210,0.49523809523809526,13,45,1.7333333333333334
EH,richnhw,210,0.7428571428571429,13,45,1.7333333333333334
RS,clayplain,210,0.5142857142857142,13,45,1.7333333333333334
RS,granitictill,210,0.4714285714285714,13,45,1.7333333333333334
RS,lowlandspfr,210,0.30952380952380953,13,45,1.7333333333333334
RS,richnhw,210,0.6,13,45,1.7333333333333334
WP,clayplain,210,0.5761904761904761,13,45,1.7333333333333334
WP,granitictill,210,0.5857142857142857,13,45,1.7333333333333334
WP,lowlandspfr,210,0.42857142857142855,13,45,1.7333333333333334
WP,richnhw,210,0.6619047619047619,13,45,1.7333333333333334
