"spp","factor_type","mean_dbh_elasticity","mean_prop_elasticity","mean_prop_crop_change","mean_dbh_shift"
"BM","mortality",0.025,-0.142406798245614,-0.0308845029239766,-0.125541907631269
"PB","mortality",1.0362012987013,-0.14734100877193,-0.0271381578947369,-0.065661370982302
"RM","mortality",0.1,-0.156387061403509,-0.0328947368421053,-0.0498124536537534
"SO","mortality",0,-0.136376096491228,-0.0349963450292398,-0.115536963619704
"WO","mortality",0,-0.109923245614035,-0.0281432748538012,-0.146414664091057
"WP","mortality",-0.25,-0.00493421052631579,0,0.0833333333333336
"YB","mortality",0,-0.140716374269006,-0.0346003898635477,-0.271369817215644
"BM","lev",0,-0.0677083333333333,-0.00253563596491229,0.0121457969994844
"PB","lev",1.07970779220779,-0.123218201754386,0.00466008771929824,-0.00051589413341635
"RM","lev",0.1375,-0.111705043859649,-0.000342653508771924,0.0524673290619923
"SO","lev",0,-0.0681195175438596,-0.00363212719298246,0.0277075420174751
"WO","lev",0,-0.0413925438596491,-0.00294682017543859,0.0168951217947372
"WP","lev",-0.25,-0.0213815789473684,0.00740131578947368,0.163265306122449
"YB","lev",0,-0.0131578947368421,-0.00109649122807014,-0.0144967511699443
"BM","price",-0.45,0.0779879385964913,-0.0119243421052632,0.0350157360149308
"PB","price",-1.07426948051948,0.122121710526316,-0.00452302631578948,0.0656627118547473
"RM","price",-0.6,0.121504934210526,-0.0134320175438596,0.121822442494948
"SO","price",-0.0875,0.0875137061403509,-0.016858552631579,0.0684697590574729
"WO","price",0,0.049547697368421,-0.00863486842105262,0.0248744684869302
"WP","price",0.75,0.0145970394736842,0.00760690789473684,0.253174603174603
"YB","price",0,0.019188596491228,-0.00438596491228068,-0.0399325137152721
